Id,Start time,Completion time,Email,Name,Gender,Age Group,Educational Background,Job Position,Years of Experience in Current Role,Industry Sector,Company Size,Employment Status,Marital Status,Geographic Location,Table 1 : Workplace Policies and Practices.Equal Pay: Men and women are paid equally for the same work at MyCompany.,Table 1 : Workplace Policies and Practices.Promotion Opportunities: Both genders have equal opportunities for career advancement at MyCompany.,Table 1 : Workplace Policies and Practices.Harassment Policies: There are clear policies and procedures in place to address gender-based harassment at MyCompany.,Table 1 : Workplace Policies and Practices.Parental Leave: Parental leave policies are equitable for both men and women at MyCompany.,Table 1 : Workplace Policies and Practices.Flexible Work Arrangements: Flexible work arrangements are accessible to all employees regardless of gender at MyCompany.,Table 2 : Workplace Environment.Inclusive Culture: The workplace fosters an inclusive culture where everyone feels respected and valued at MyCompany.,Table 2 : Workplace Environment.Work-Life Balance: Both men and women are supported in maintaining a healthy work-life balance at MyCompany.,Table 2 : Workplace Environment.Training and Development: Training and development opportunities are equally available to all employees at MyCompany.,Table 2 : Workplace Environment.Gender Bias: Gender biases are actively addressed and mitigated in the workplace at MyCompany.,Table 2 : Workplace Environment.Employee Well-being: Employee well-being initiatives consider gender-specific needs and concerns at MyCompany.,Table 3 : Leadership and Representation.Gender Diversity in Leadership: Leadership positions at MyCompany demonstrate gender diversity.,Table 3 : Leadership and Representation.Mentorship Programs: Mentorship programs at MyCompany are available to support career growth for all genders.,Table 3 : Leadership and Representation.Gender Representation in Decision-making: Both genders are represented in decision-making processes at MyCompany.,Table 3 : Leadership and Representation.Recognition of Women Leaders: Contributions of women leaders at MyCompany are acknowledged and celebrated.,Table 3 : Leadership and Representation.Gender Bias Training: Training programs are conducted at MyCompany to raise awareness about gender biases.,Table 4: Work-Life Balance.Family Support Policies: MyCompany offers supportive policies for employees with family responsibilities.,Table 4: Work-Life Balance.Remote Work Opportunities: Remote work options are available at MyCompany for employees needing flexibility.,Table 4: Work-Life Balance.Workload Distribution: Workloads at MyCompany are distributed fairly regardless of gender.,Table 4: Work-Life Balance.Childcare Assistance: MyCompany provides childcare assistance or subsidies.,Table 4: Work-Life Balance.Stress Management Resources: Resources for managing work-related stress are accessible to all employees at MyCompany.,Table 5: Career Development and Opportunities.Training Accessibility: Training and development programs at MyCompany are equally accessible to all genders.,Table 5: Career Development and Opportunities.Leadership Track: Both men and women have equal access to leadership development programs at MyCompany.,Table 5: Career Development and Opportunities.Promotion Transparency: Promotion processes at MyCompany are transparent and free from gender bias.,Table 5: Career Development and Opportunities.Skill Recognition: Skills and competencies at MyCompany are recognized and rewarded regardless of gender.,Table 5: Career Development and Opportunities.Networking Opportunities: Networking opportunities for career advancement are equally available to all employees at MyCompany.,Table 6 : Perception of Gender Inequality Assessment.Promotion Opportunities,Table 6 : Perception of Gender Inequality Assessment.Harassment Policies,Table 6 : Perception of Gender Inequality Assessment.Flexible Work Arrangements,Table 6 : Perception of Gender Inequality Assessment.Gender Representation in Decision-making,Table 6 : Perception of Gender Inequality Assessment.Recognition of Women Leaders,Any other feedback you want to provide?
32,3/1/24 19:40:53,3/1/24 19:47:36,anonymous,,Male,26 to 35,Bachelor's Degree,Mid-Level,4 to 7 years,Other,Medium (51-500 employees),Full-time,Married,Urban,Strongly agree -5,Strongly agree -5,Agree 4,Agree 4,Agree 4,Agree -4,Neither agree nor disagree -3,Neither agree nor disagree -3,Disagree -2,Agree -4,Neither agree nor disagree -3,Disagree -2,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Disagree -2,Agree -4,Disagree -2,Disagree -2,Strongly Agree -5,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Agree -4,
33,3/2/24 8:01:23,3/2/24 8:09:18,anonymous,,Female,36 to 45,Other,Senior-Level,More than 10 years,Education,Large (501+ employees),Other,Married,Urban,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly disagree -1,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly Agree -5,Strongly Agree -5,Strongly Agree -5,Strongly Agree -5,Strongly Agree -5,Agree -4,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Hi ??
34,3/2/24 14:14:54,3/2/24 14:18:34,anonymous,,Female,26 to 35,Bachelor's Degree,Mid-Level,1 to 3 years,Technology,Large (501+ employees),Full-time,Married,Urban,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly Agree -5,Strongly Agree -5,Strongly Agree -5,Agree -4,Agree -4,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,
35,3/2/24 14:19:24,3/2/24 14:35:03,anonymous,,Male,18 to 25,Other,Mid-Level,1 to 3 years,Technology,Medium (51-500 employees),Full-time,Single,Suburban,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Disagree -2,Disagree -2,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Disagree -2,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly Disagree ,Strongly Disagree ,Strongly Disagree ,Strongly Disagree ,Strongly Disagree ,
36,3/2/24 14:52:51,3/2/24 14:58:30,anonymous,,Male,26 to 35,Bachelor's Degree,Mid-Level,1 to 3 years,Manufacturing,Large (501+ employees),Full-time,Married,Suburban,Agree 4,Disagree -2,Agree 4,Neither agree nor disagree -3,Disagree -2,Neither agree nor disagree -3,Neither agree nor disagree -3,Agree -4,Neither agree nor disagree -3,Agree -4,Neither agree nor disagree -3,Neither agree nor disagree -3,Disagree -2,Neither agree nor disagree -3,Agree -4,Disagree -2,Neither agree nor disagree -3,Disagree -2,Disagree -2,Disagree -2,Agree -4,Neither agree nor disagree -3,Disagree -2,Neither agree nor disagree -3,Neither agree nor disagree -3,Disagree -2,Neither agree nor disagree -3,Disagree -2,Disagree -2,Disagree -2,
37,3/2/24 15:00:58,3/2/24 15:04:46,anonymous,,Male,18 to 25,Bachelor's Degree,Entry-Level,Less than 1 year,Technology,Medium (51-500 employees),Full-time,Single,Suburban,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Agree -4,Neither agree nor disagree -3,Neither agree nor disagree -3,Agree -4,Strongly agree -5,Disagree -2,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Agree -4,Agree -4,Agree -4,Strongly Agree -5,Strongly Agree -5,Strongly Agree -5,Strongly Agree -5,Strongly Agree -5,Agree -4,Strongly agree -5,Strongly agree -5,Strongly Disagree ,Strongly agree -5,
38,3/2/24 15:07:37,3/2/24 15:11:52,anonymous,,Male,18 to 25,Bachelor's Degree,Entry-Level,Less than 1 year,Technology,Small (1-50 employees),Full-time,Single,Suburban,Strongly agree -5,Strongly agree -5,Neither agree nor disagree -3,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Disagree -2,Disagree -2,Strongly disagree -1,Disagree -2,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly disagree -1,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Agree -4,Strongly Agree -5,Strongly Agree -5,Strongly Agree -5,Strongly Agree -5,Strongly Agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,
39,3/2/24 18:33:55,3/2/24 18:38:14,anonymous,,Male,18 to 25,Bachelor's Degree,Entry-Level,Less than 1 year,Technology,Small (1-50 employees),Part-time,Single,Suburban,Disagree -2,Neither agree nor disagree -3,Neither agree nor disagree -3,Strongly disagree -1,Disagree -2,Neither agree nor disagree -3,Strongly disagree -1,Disagree -2,Disagree -2,Strongly disagree -1,Strongly disagree -1,Disagree -2,Disagree -2,Strongly disagree -1,Disagree -2,Strongly disagree -1,Disagree -2,Strongly disagree -1,Neither agree nor disagree -3,Strongly disagree -1,Strongly disagree -1,Disagree -2,Strongly disagree -1,Strongly disagree -1,Disagree -2,Strongly Disagree ,Disagree -2,Strongly agree -5,Neither agree nor disagree -3,Disagree -2,Super 
40,3/2/24 20:01:59,3/2/24 20:04:31,anonymous,,Male,18 to 25,Bachelor's Degree,Entry-Level,1 to 3 years,Technology,Small (1-50 employees),Full-time,Single,Urban,Agree 4,Disagree -2,Neither agree nor disagree -3,Disagree -2,Agree 4,Disagree -2,Strongly disagree -1,Disagree -2,Neither agree nor disagree -3,Disagree -2,Strongly disagree -1,Disagree -2,Neither agree nor disagree -3,Agree -4,Neither agree nor disagree -3,Strongly disagree -1,Disagree -2,Strongly disagree -1,Disagree -2,Disagree -2,Disagree -2,Strongly disagree -1,Disagree -2,Strongly Agree -5,Strongly disagree -1,Strongly Disagree ,Disagree -2,Strongly Disagree ,Strongly Disagree ,Neither agree nor disagree -3,
41,3/2/24 20:27:36,3/2/24 20:37:14,anonymous,,Male,18 to 25,High school Diploma,Entry-Level,Less than 1 year,Technology,Medium (51-500 employees),Full-time,Single,Urban,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Agree -4,Agree -4,Agree -4,Agree -4,Strongly agree -5,Neither agree nor disagree -3,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Strongly agree -5,Neither agree nor disagree -3,Agree -4,Agree -4,Agree -4,Agree -4,Disagree -2,Agree -4,Agree -4,Strongly agree -5,Agree -4,Neither agree nor disagree -3,Neither agree nor disagree -3,Agree -4,No.
42,3/2/24 20:37:39,3/2/24 20:40:45,anonymous,,Female,46 to 55 ,Bachelor's Degree,Mid-Level,More than 10 years,Education,Medium (51-500 employees),Full-time,Married,Urban,Agree 4,Agree 4,Agree 4,Agree 4,Agree 4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,
43,3/2/24 21:06:17,3/2/24 21:08:35,anonymous,,Male,26 to 35,Bachelor's Degree,Senior-Level,8 to 10 years,Healthcare,Large (501+ employees),Full-time,Married,Urban,Disagree -2,Strongly disagree -1,Neither agree nor disagree -3,Disagree -2,Neither agree nor disagree -3,Neither agree nor disagree -3,Disagree -2,Neither agree nor disagree -3,Agree -4,Neither agree nor disagree -3,Neither agree nor disagree -3,Disagree -2,Neither agree nor disagree -3,Disagree -2,Neither agree nor disagree -3,Disagree -2,Strongly disagree -1,Disagree -2,Agree -4,Neither agree nor disagree -3,Disagree -2,Neither agree nor disagree -3,Agree -4,Neither agree nor disagree -3,Agree -4,Disagree -2,Neither agree nor disagree -3,Disagree -2,Neither agree nor disagree -3,Disagree -2,
44,3/2/24 21:34:10,3/2/24 21:35:09,anonymous,,Male,18 to 25,Other,Mid-Level,1 to 3 years,Technology,Small (1-50 employees),Full-time,Single,Urban,Disagree -2,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Disagree -2,Strongly disagree -1,Disagree -2,Disagree -2,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Disagree -2,Disagree -2,Disagree -2,Strongly disagree -1,Strongly disagree -1,Disagree -2,Disagree -2,Disagree -2,Strongly disagree -1,Strongly disagree -1,Disagree -2,Disagree -2,Disagree -2,Strongly Disagree ,Disagree -2,Disagree -2,Strongly Disagree ,Neither agree nor disagree -3,
45,3/2/24 21:35:24,3/2/24 21:43:07,anonymous,,Male,18 to 25,High school Diploma,Entry-Level,Less than 1 year,Technology,Small (1-50 employees),Part-time,Single,Urban,Agree 4,Agree 4,Neither agree nor disagree -3,Disagree -2,Neither agree nor disagree -3,Strongly disagree -1,Disagree -2,Strongly disagree -1,Disagree -2,Disagree -2,Agree -4,Neither agree nor disagree -3,Agree -4,Agree -4,Strongly agree -5,Strongly disagree -1,Disagree -2,Strongly disagree -1,Disagree -2,Disagree -2,Strongly disagree -1,Disagree -2,Neither agree nor disagree -3,Disagree -2,Neither agree nor disagree -3,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,
46,3/2/24 22:48:40,3/2/24 22:59:51,anonymous,,Male,26 to 35,High school Diploma,Mid-Level,1 to 3 years,Technology,Medium (51-500 employees),Full-time,Single,Urban,Strongly agree -5,Strongly agree -5,Neither agree nor disagree -3,Agree 4,Disagree -2,Agree -4,Agree -4,Strongly agree -5,Neither agree nor disagree -3,Strongly disagree -1,Strongly disagree -1,Strongly agree -5,Agree -4,Agree -4,Strongly disagree -1,Neither agree nor disagree -3,Agree -4,Strongly agree -5,Neither agree nor disagree -3,Agree -4,Strongly Agree -5,Strongly Agree -5,Strongly Agree -5,Strongly Agree -5,Agree -4,Strongly agree -5,Agree -4,Agree -4,Neither agree nor disagree -3,Strongly agree -5,No
47,3/3/24 5:36:24,3/3/24 5:42:00,anonymous,,Male,26 to 35,Bachelor's Degree,Senior-Level,4 to 7 years,Other,Small (1-50 employees),Full-time,Married,Urban,Agree 4,Agree 4,Agree 4,Agree 4,Agree 4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Strongly agree -5,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,
48,3/3/24 8:50:54,3/3/24 8:53:50,anonymous,,Male,18 to 25,High school Diploma,Entry-Level,Less than 1 year,Technology,Medium (51-500 employees),Full-time,Single,Urban,Agree 4,Agree 4,Agree 4,Agree 4,Agree 4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Strongly agree -5,Strongly agree -5,Strongly agree -5,Neither agree nor disagree -3,Strongly disagree -1,Disagree -2,Neither agree nor disagree -3,Neither agree nor disagree -3,Disagree -2,Disagree -2,Neither agree nor disagree -3,Agree -4,Agree -4,Agree -4,Strongly Agree -5,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,
49,3/3/24 10:44:40,3/3/24 10:46:20,anonymous,,Male,18 to 25,High school Diploma,Entry-Level,Less than 1 year,Technology,Small (1-50 employees),Full-time,Divorced,Urban,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly Disagree ,Strongly Disagree ,Strongly Disagree ,Strongly Disagree ,Strongly Disagree ,
50,3/4/24 21:57:13,3/4/24 22:09:23,anonymous,,Male,36 to 45,Master's Degree,Managerial,Less than 1 year,Finance,Large (501+ employees),Full-time,Married,Urban,Strongly agree -5,Agree 4,Strongly agree -5,Neither agree nor disagree -3,Agree 4,Strongly agree -5,Agree -4,Strongly agree -5,Agree -4,Agree -4,Agree -4,Strongly agree -5,Agree -4,Strongly agree -5,Agree -4,Disagree -2,Strongly disagree -1,Neither agree nor disagree -3,Strongly disagree -1,Neither agree nor disagree -3,Strongly Agree -5,Strongly Agree -5,Agree -4,Agree -4,Agree -4,Agree -4,Strongly agree -5,Neither agree nor disagree -3,Agree -4,Agree -4,
51,3/4/24 22:33:55,3/4/24 22:38:33,anonymous,,Female,26 to 35,High school Diploma,Mid-Level,4 to 7 years,Healthcare,Medium (51-500 employees),Other,Married,Suburban,Agree 4,Agree 4,Agree 4,Agree 4,Disagree -2,Agree -4,Disagree -2,Disagree -2,Agree -4,Agree -4,Agree -4,Disagree -2,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Disagree -2,Disagree -2,Disagree -2,Disagree -2,Disagree -2,Disagree -2,Disagree -2,Disagree -2,Agree -4,Agree -4,Disagree -2,Disagree -2,Agree -4,
52,3/5/24 7:00:30,3/5/24 7:04:48,anonymous,,Male,26 to 35,High school Diploma,Mid-Level,More than 10 years,Finance,Large (501+ employees),Full-time,Single,Suburban,Strongly agree -5,Strongly agree -5,Strongly agree -5,Agree 4,Neither agree nor disagree -3,Agree -4,Neither agree nor disagree -3,Agree -4,Strongly agree -5,Strongly agree -5,Strongly agree -5,Agree -4,Strongly agree -5,Strongly agree -5,Strongly agree -5,Disagree -2,Strongly disagree -1,Disagree -2,Strongly disagree -1,Neither agree nor disagree -3,Agree -4,Agree -4,Strongly Agree -5,Agree -4,Agree -4,Strongly agree -5,Agree -4,Neither agree nor disagree -3,Strongly agree -5,Strongly agree -5,
